"","Barat","Selatan","Tengah","Timur","Utara"
"Barat",0,0.237441200207158,0.294883169597855,0.16125556432321,0.306420065871777
"Selatan",0.189925634895774,0,0.339962893072854,0.264898709975326,0.205212762056045
"Tengah",0.17354990918473,0.250137274337179,0,0.203891410358705,0.372421406119385
"Timur",0.148317302275983,0.304599680486749,0.318640983099948,0,0.22844203413732
"Utara",0.212182615268895,0.177651735372294,0.438180278606658,0.171985370752152,0
