Date,PRECTOTCORR,Longitude,Latitude,boxcox1,diff1
2016-01-31,7.695806451612903,112.61,-7.24,3.0626503788161283,-1.4301392417573409
2016-02-29,16.280689655172413,112.61,-7.24,4.91879115210336,0.8458342319961893
2016-03-31,6.039032258064516,112.61,-7.24,2.5652768799825183,-0.9542314759465769
2016-04-30,7.493333333333333,112.61,-7.24,3.005716734070729,-0.048238917720574204
2016-05-31,8.75,112.61,-7.24,3.344883769341602,1.653803889835787
2016-06-30,4.913333333333333,112.61,-7.24,2.1761688835716098,2.944807446888573
2016-07-31,4.419677419354838,112.61,-7.24,1.9878121464882754,3.8284094607045795
2016-08-31,2.13,112.61,-7.24,0.8739390392807707,1.947886073648677
2016-09-30,4.5103333333333335,112.61,-7.24,2.0233548594366186,4.4047759626190555
2016-10-31,8.696451612903225,112.61,-7.24,3.331077406428705,5.832269300599467
2016-11-30,5.337666666666666,112.61,-7.24,2.32881523883337,0.8555433522891338
2016-12-31,10.397096774193548,112.61,-7.24,3.7460445720595055,1.229939578608933
2017-01-31,13.161935483870968,112.61,-7.24,4.338133672461755,1.2754832936456264
2017-02-28,9.944999999999999,112.61,-7.24,3.6401516758119556,-1.2786394762914042
2017-03-31,6.918387096774193,112.61,-7.24,2.83860307582192,0.27332619583940154
2017-04-30,6.8566666666666665,112.61,-7.24,2.8201538790506784,-0.18556285502005077
2017-05-31,4.054193548387096,112.61,-7.24,1.8396963059908538,-1.505187463350748
2017-06-30,2.9859999999999998,112.61,-7.24,1.3517955955306842,-0.8243732880409256
2017-07-31,1.0525806451612905,112.61,-7.24,0.051740373665743314,-1.936071772822532
2017-08-31,0.014516129032258065,112.61,-7.24,-2.123971448408675,-2.997910487689446
2017-09-30,0.485,112.61,-7.24,-0.6339109479849261,-2.6572658074215445
2017-10-31,2.7874193548387094,112.61,-7.24,1.2494880605035643,-2.0815893459251407
2017-11-30,9.806000000000001,112.61,-7.24,3.6069903594052413,1.2781751205718712
2017-12-31,11.131935483870969,112.61,-7.24,3.912180824080464,0.1661362520209586
2018-01-31,9.079354838709676,112.61,-7.24,3.428660053210555,-0.9094736192511998
2018-02-28,14.0025,112.61,-7.24,4.502433879261314,0.8622822034493587
2018-03-31,9.102903225806452,112.61,-7.24,3.43457657332734,0.5959734975054203
2018-04-30,4.3100000000000005,112.61,-7.24,1.9441965208939185,-0.8759573581567599
2018-05-31,0.4970967741935484,112.61,-7.24,-0.6150322517788015,-2.454728557769655
2018-06-30,2.062666666666667,112.61,-7.24,0.8315667603781387,-0.5202288351525455
2018-07-31,0.02935483870967742,112.61,-7.24,-1.9586581907758007,-2.010398564441544
2018-08-31,0.5587096774193548,112.61,-7.24,-0.5230835848205543,1.6008878635881207
2018-09-30,0.15899999999999997,112.61,-7.24,-1.3294079278706188,-0.6954969798856927
2018-10-31,0.9387096774193548,112.61,-7.24,-0.06250536116416135,-1.3119934216677256
2018-11-30,5.408,112.61,-7.24,2.3533741563651436,-1.2536162030400977
2018-12-31,9.623548387096774,112.61,-7.24,3.563013202883566,-0.3491676211968979
2019-01-31,15.072258064516129,112.61,-7.24,4.702840161595235,1.2741801083846802
2019-02-28,12.209642857142857,112.61,-7.24,4.143853955048446,-0.35857992421286866
2019-03-31,8.40967741935484,112.61,-7.24,3.2562179207942994,-0.17835865253304073
2019-04-30,8.661666666666667,112.61,-7.24,3.3220802894768475,1.377883768582929
2019-05-31,0.9851612903225806,112.61,-7.24,-0.014907155437063375,0.6001250963417382
2019-06-30,0.11366666666666667,112.61,-7.24,-1.48790904782266,-2.3194758082007985
2019-07-31,0.034193548387096775,112.61,-7.24,-1.9167269246395022,0.041931266136298495
2019-08-31,0.342258064516129,112.61,-7.24,-0.8831930073354841,-0.36010942251492983
2019-09-30,0.455,112.61,-7.24,-0.6820385362034904,0.6473693916671284
2019-10-31,0.052258064516129035,112.61,-7.24,-1.7867602410291075,-1.7242548798649462
2019-11-30,0.8136666666666666,112.61,-7.24,-0.19844837548239466,-2.551822531847538
2019-12-31,5.812903225806452,112.61,-7.24,2.4910097100023756,-1.0720034928811906
2020-01-31,11.446774193548388,112.61,-7.24,3.981260612229459,-0.7215795493657762
2020-02-29,14.646206896551725,112.61,-7.24,4.624126254253253,0.48027229920480696
2020-03-31,9.128709677419355,112.61,-7.24,3.4410494415943105,0.18483152080001108
2020-04-30,10.973666666666666,112.61,-7.24,3.876992146555432,0.5549118570785843
2020-05-31,6.9148387096774195,112.61,-7.24,2.837545204762737,2.8524523601998
2020-06-30,1.552,112.61,-7.24,0.4777597528490472,1.9656688006717071
2020-07-31,0.8629032258064516,112.61,-7.24,-0.14345735862192505,1.7732695660175772
2020-08-31,0.8274193548387097,112.61,-7.24,-0.18288344863356992,0.7003095587019141
2020-09-30,0.446,112.61,-7.24,-0.6968624922480496,-0.014823956044559217
2020-10-31,3.2245161290322577,112.61,-7.24,1.4691976711046855,3.255957912133793
2020-11-30,4.263333333333334,112.61,-7.24,1.9254278406269376,2.1238762161093323
2020-12-31,17.49451612903226,112.61,-7.24,5.1258291637640365,2.634819453761661
2021-01-31,14.981612903225807,112.61,-7.24,4.68621102369561,0.7049504114661511
2021-02-28,16.908571428571427,112.61,-7.24,5.027048861935065,0.40292260768181265
2021-03-31,10.65548387096774,112.61,-7.24,3.8052757865569293,0.36422634496261885
2021-04-30,3.207666666666667,112.61,-7.24,1.4610861059007296,-2.4159060406547024
2021-05-31,2.108064516129032,112.61,-7.24,0.8602284874333441,-1.9773167173293928
