Date,PRECTOTCORR,Longitude,Latitude,boxcox1,diff1
2016-01-31,7.781290322580645,112.73,-7.2,3.083400338853805,-1.3931285235289974
2016-02-29,16.213793103448275,112.73,-7.2,4.900363260432906,0.8200417864686855
2016-03-31,6.081290322580646,112.73,-7.2,2.5767809720813974,-0.9247719179864458
2016-04-30,7.427666666666666,112.73,-7.2,2.9842092762603967,-0.009853075878437867
2016-05-31,8.845483870967742,112.73,-7.2,3.3658613877714143,1.5604227750565582
2016-06-30,4.888000000000001,112.73,-7.2,2.1652076810769185,2.924750692502932
2016-07-31,4.439032258064516,112.73,-7.2,1.9940694024747232,3.8623419788905866
2016-08-31,2.1390322580645162,112.73,-7.2,0.8792636653463259,1.9469388480437548
2016-09-30,4.447666666666667,112.73,-7.2,1.9974606132968655,4.357350727814152
2016-10-31,8.753225806451614,112.73,-7.2,3.3422467802070868,5.848021416601805
2016-11-30,5.304,112.73,-7.2,2.315190607241763,0.8455782211929177
2016-12-31,10.161935483870968,112.73,-7.2,3.6872109626566565,1.2052169016184573
2017-01-31,13.405806451612902,112.73,-7.2,4.380901257848955,1.29750091899515
2017-02-28,9.898571428571428,112.73,-7.2,3.625107978687035,-1.275255281745871
2017-03-31,6.927741935483872,112.73,-7.2,2.8387960526681426,0.26201508058674516
2017-04-30,6.816999999999999,112.73,-7.2,2.8057014727294955,-0.17850780353090112
2017-05-31,4.121612903225806,112.73,-7.2,1.8664167673867431,-1.4994446203846712
2017-06-30,3.0146666666666673,112.73,-7.2,1.3655301893540799,-0.7996774917228386
2017-07-31,1.0577419354838709,112.73,-7.2,0.05672977550291437,-1.9373396269718088
2017-08-31,0.012903225806451613,112.73,-7.2,-2.150530292868172,-3.029793958214498
2017-09-30,0.44899999999999995,112.73,-7.2,-0.692122497529282,-2.6895831108261476
2017-10-31,2.8235483870967744,112.73,-7.2,1.2678425963187498,-2.074404183888337
2017-11-30,9.767666666666667,112.73,-7.2,3.5938540989755063,1.2786634917337434
2017-12-31,11.140322580645162,112.73,-7.2,3.909472727020603,0.2222617643639464
2018-01-31,9.011935483870968,112.73,-7.2,3.4080793488582444,-0.9728219089907109
2018-02-28,14.045357142857142,112.73,-7.2,4.504809110965259,0.8797011322782242
2018-03-31,9.088387096774193,112.73,-7.2,3.4273064563175217,0.5885104036493791
2018-04-30,4.385000000000001,112.73,-7.2,1.9727534917421643,-0.8329479809873312
2018-05-31,0.4912903225806452,112.73,-7.2,-0.6242364412151397,-2.490653208601883
2018-06-30,2.0676666666666668,112.73,-7.2,0.8344755810912947,-0.5310546082627852
2018-07-31,0.03032258064516129,112.73,-7.2,-1.9522099493336893,-2.008939724836604
2018-08-31,0.5432258064516129,112.73,-7.2,-0.5457037053310709,1.6048265875371013
2018-09-30,0.17366666666666666,112.73,-7.2,-1.285174026731869,-0.593051529202587
2018-10-31,0.7270967741935483,112.73,-7.2,-0.30046388307296185,-1.5683064793917116
2018-11-30,5.566666666666666,112.73,-7.2,2.4061253424294073,-1.187728756546099
2018-12-31,9.620000000000001,112.73,-7.2,3.558281594382096,-0.3511911326385069
2019-01-31,14.999677419354839,112.73,-7.2,4.683292626220133,1.275213277361889
2019-02-28,12.262500000000001,112.73,-7.2,4.149818345541648,-0.35499076542361063
2019-03-31,8.38258064516129,112.73,-7.2,3.245770328714287,-0.18153612760323456
2019-04-30,8.497,112.73,-7.2,3.275833261876787,1.3030797701346226
2019-05-31,1.2558064516129033,112.73,-7.2,0.23774495154680494,0.8619813927619446
2019-06-30,0.11366666666666667,112.73,-7.2,-1.489090659842366,-2.323566240933661
2019-07-31,0.034193548387096775,112.73,-7.2,-1.9188967783038866,0.03331317102980269
2019-08-31,0.3093548387096774,112.73,-7.2,-0.9500351622476689,-0.404331456916598
2019-09-30,0.434,112.73,-7.2,-0.7171611327342884,0.5680128939975806
2019-10-31,0.09451612903225806,112.73,-7.2,-1.5682544610611955,-1.2677905779882337
2019-11-30,0.8170000000000001,112.73,-7.2,-0.19467715030226213,-2.6008024927316695
2019-12-31,5.717096774193548,112.73,-7.2,2.456997427799393,-1.101284166582703
2020-01-31,11.138387096774194,112.73,-7.2,3.909045370068734,-0.7742472561513991
2020-02-29,15.007586206896553,112.73,-7.2,4.684741613235337,0.5349232676936886
2020-03-31,9.179354838709678,112.73,-7.2,3.450052695297257,0.20428236658296983
2020-04-30,10.987666666666666,112.73,-7.2,3.875622176856236,0.5997889149794489
2020-05-31,6.8587096774193546,112.73,-7.2,2.8182054381507906,2.5804604866039855
2020-06-30,1.6136666666666666,112.73,-7.2,0.5239181289351756,2.0130087887775416
2020-07-31,0.8651612903225806,112.73,-7.2,-0.1409915731505827,1.777905205153304
2020-08-31,0.8270967741935484,112.73,-7.2,-0.18326116650695876,0.7667739957407101
2020-09-30,0.44266666666666665,112.73,-7.2,-0.702629433808748,0.014531698925540404
2020-10-31,3.103225806451613,112.73,-7.2,1.4094815804547818,2.9777360415159775
2020-11-30,4.3853333333333335,112.73,-7.2,1.9728854960044275,2.1675626463066897
2020-12-31,17.098387096774196,112.73,-7.2,5.052178727009368,2.5951812992099748
2021-01-31,15.290967741935484,112.73,-7.2,4.736348009403425,0.827302639334691
2021-02-28,16.903214285714288,112.73,-7.2,5.019113843104501,0.3343722298691638
2021-03-31,10.572903225806451,112.73,-7.2,3.7821363280392313,0.3320836327419743
2021-04-30,3.3916666666666666,112.73,-7.2,1.5474095710179836,-2.328212605838252
2021-05-31,2.1029032258064517,112.73,-7.2,0.8567086047257569,-1.9614968334250338
